task_id,edge_node_id,edge_server_id,edge_node_memory,edge_server_memory,edge_cpu_mips,edge_server_cpu_mips,mobility_status,en_uplink_bandwidth,en_downlink_bandwidth,es_uplink_bandwidth,es_downlink_bandwidth,edge_node_Latitude_position,edge_node_Longitude_position,edge_server_position,distance_en_to_es,distance_es_to_cs,deadlines,task_size,subtasks
0,98,3,59.871634505589604,414.6589311285014,5.0274794270684415,4.208981147015501,static,67.47538687628023,54.060646632570986,91.33054116789319,59.07683631908986,82,73,"[-329.2817, -700.006]",879.4111383140937,1044.1024461186219,255.95280508333727,2.20703434123459,"[{'subtask_id': 0, 'subtask_size': 2.20703434123459, 'network_delay_to_edge_server': 0.01921727453423608, 'network_delay_to_cloud_server': 0.016169752070984478, 'task_completion_time_edge': 0.16957654979137415, 'task_completion_time_cloud': 0.7169733360258739, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}]"
1,63,1,52.47776227062971,315.9681133123447,14.192555586123879,8.739692458466013,static,21.44796731341519,79.46757308905848,95.61618716359602,62.60433023204564,-5,-18,"[-329.2817, -700.006]",761.5311134752736,1044.1024461186219,254.961772329534,4.294947284381818,"[{'subtask_id': 0, 'subtask_size': 1.4316490947939393, 'network_delay_to_edge_server': 0.05043212050557701, 'network_delay_to_cloud_server': 0.015678992427978874, 'task_completion_time_edge': 0.7350270539240968, 'task_completion_time_cloud': 1.5797847375147418, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 1, 'subtask_size': 1.4316490947939393, 'network_delay_to_edge_server': 0.05043212050557701, 'network_delay_to_cloud_server': 0.015678992427978874, 'task_completion_time_edge': 0.7206133454783752, 'task_completion_time_cloud': 0.9933636901124506, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 2, 'subtask_size': 1.4316490947939393, 'network_delay_to_edge_server': 0.05043212050557701, 'network_delay_to_cloud_server': 0.015678992427978874, 'task_completion_time_edge': 0.6479770214478332, 'task_completion_time_cloud': 1.6037535743610527, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
2,9,2,13.134262011846877,778.3747487625809,87.96993953925664,8.11285920689789,mobile,23.825461479876147,10.43189552245155,17.602016430958656,54.691826060830984,-32,-164,"[950.7783, 927.4179]",688.1497339902777,1044.1024461186219,167.7707232309564,2.0251562712807227,"[{'subtask_id': 0, 'subtask_size': 2.0251562712807227, 'network_delay_to_edge_server': 0.045412653425904864, 'network_delay_to_cloud_server': 0.06203218513877123, 'task_completion_time_edge': 0.44025292494412716, 'task_completion_time_cloud': 1.4231800278099154, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
3,76,3,41.67625090309104,414.6589311285014,2.3204594038258857,4.208981147015501,mobile,92.02591013387382,25.843559884798196,91.33054116789319,59.07683631908986,-3,-162,"[-329.2817, -700.006]",716.7988080283686,1044.1024461186219,251.35180727390497,2.449941283240185,"[{'subtask_id': 0, 'subtask_size': 0.6124853208100463, 'network_delay_to_edge_server': 0.014450498903231591, 'network_delay_to_cloud_server': 0.016169752070984478, 'task_completion_time_edge': 0.4977754471883249, 'task_completion_time_cloud': 0.6398010223298172, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 1, 'subtask_size': 0.6124853208100463, 'network_delay_to_edge_server': 0.014450498903231591, 'network_delay_to_cloud_server': 0.016169752070984478, 'task_completion_time_edge': 0.23083268687507733, 'task_completion_time_cloud': 0.9721138901329196, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 2, 'subtask_size': 0.6124853208100463, 'network_delay_to_edge_server': 0.014450498903231591, 'network_delay_to_cloud_server': 0.016169752070984478, 'task_completion_time_edge': 0.9455095047980077, 'task_completion_time_cloud': 1.3607289683834554, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 3, 'subtask_size': 0.6124853208100463, 'network_delay_to_edge_server': 0.014450498903231591, 'network_delay_to_cloud_server': 0.016169752070984478, 'task_completion_time_edge': 0.6850212000041573, 'task_completion_time_cloud': 1.8552152111560474, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}]"
4,23,4,30.692111800728075,207.47396657570152,6.794385152858973,62.41032068671061,mobile,82.11347265545731,26.519832257635922,57.094226375583276,23.3586744597519,7,13,"[950.7783, 927.4179]",785.5025437201906,1044.1024461186219,474.6003649958877,2.9209203845079452,"[{'subtask_id': 0, 'subtask_size': 1.4604601922539726, 'network_delay_to_edge_server': 0.016105782223727518, 'network_delay_to_cloud_server': 0.022735418088528622, 'task_completion_time_edge': 0.4289234552357335, 'task_completion_time_cloud': 0.9186848492326113, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 1, 'subtask_size': 1.4604601922539726, 'network_delay_to_edge_server': 0.016105782223727518, 'network_delay_to_cloud_server': 0.022735418088528622, 'task_completion_time_edge': 0.34300770270492315, 'task_completion_time_cloud': 0.8387275937138292, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}]"
5,88,0,68.20571262431234,162.7034748314175,49.032665713756735,8.809574997737865,static,11.17908690768395,66.55304129362169,46.16478505551902,33.37947637985806,-83,-46,"[750.0522, -355.2437]",678.929249326386,1044.1024461186219,176.64609644251786,2.2621149873897197,"[{'subtask_id': 0, 'subtask_size': 1.1310574936948599, 'network_delay_to_edge_server': 0.09284739030864021, 'network_delay_to_cloud_server': 0.026882044907445668, 'task_completion_time_edge': 0.9695250000790896, 'task_completion_time_cloud': 0.745698802969925, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 1, 'subtask_size': 1.1310574936948599, 'network_delay_to_edge_server': 0.09284739030864021, 'network_delay_to_cloud_server': 0.026882044907445668, 'task_completion_time_edge': 0.5785369847109899, 'task_completion_time_cloud': 0.9266896258732227, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}]"
6,53,3,33.07377056099222,543.3006171662975,21.383959823490247,1.8963615949995452,mobile,61.925966924913,74.63143725896035,33.60956700346037,37.92168632583052,-40,-135,"[230.7749, 384.4191]",688.0067579543751,1044.1024461186219,361.03287249583207,3.195368850003302,"[{'subtask_id': 0, 'subtask_size': 1.0651229500011008, 'network_delay_to_edge_server': 0.01958834845738988, 'network_delay_to_cloud_server': 0.03497394523069817, 'task_completion_time_edge': 0.9423549081527405, 'task_completion_time_cloud': 0.666097511408618, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 1, 'subtask_size': 1.0651229500011008, 'network_delay_to_edge_server': 0.01958834845738988, 'network_delay_to_cloud_server': 0.03497394523069817, 'task_completion_time_edge': 0.24308608320682706, 'task_completion_time_cloud': 1.3201268784030893, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 2, 'subtask_size': 1.0651229500011008, 'network_delay_to_edge_server': 0.01958834845738988, 'network_delay_to_cloud_server': 0.03497394523069817, 'task_completion_time_edge': 0.13424685648125087, 'task_completion_time_cloud': 1.3757962523641296, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}]"
7,97,1,74.56652110403536,392.8741932693814,2.089861861373057,7.3866370468299305,static,24.140357588443603,54.329645681567,98.55920790828459,62.87634092688917,71,172,"[750.0522, -355.2437]",919.637751938713,1044.1024461186219,295.53822069161316,4.0573963546181595,"[{'subtask_id': 0, 'subtask_size': 1.0143490886545399, 'network_delay_to_edge_server': 0.046022595847959605, 'network_delay_to_cloud_server': 0.015366697667985844, 'task_completion_time_edge': 0.8108777440304437, 'task_completion_time_cloud': 1.6728222452163406, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 1, 'subtask_size': 1.0143490886545399, 'network_delay_to_edge_server': 0.046022595847959605, 'network_delay_to_cloud_server': 0.015366697667985844, 'task_completion_time_edge': 1.0129403623420945, 'task_completion_time_cloud': 1.2724606592479428, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 2, 'subtask_size': 1.0143490886545399, 'network_delay_to_edge_server': 0.046022595847959605, 'network_delay_to_cloud_server': 0.015366697667985844, 'task_completion_time_edge': 0.5126615234421452, 'task_completion_time_cloud': 1.2091236837877803, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 3, 'subtask_size': 1.0143490886545399, 'network_delay_to_edge_server': 0.046022595847959605, 'network_delay_to_cloud_server': 0.015366697667985844, 'task_completion_time_edge': 0.5628825320407718, 'task_completion_time_cloud': 1.6406079103616216, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}]"
8,46,2,82.89614693142062,310.95510501098863,8.856984889680309,4.341103977367683,static,41.85985380802792,25.196953395598513,90.35104532992489,70.53199825545558,69,-39,"[750.0522, -355.2437]",821.969399303216,1044.1024461186219,327.91225908584653,1.9368990666110963,"[{'subtask_id': 0, 'subtask_size': 1.9368990666110963, 'network_delay_to_edge_server': 0.02799908475128863, 'network_delay_to_cloud_server': 0.016288452798944156, 'task_completion_time_edge': 0.49412212188420357, 'task_completion_time_cloud': 0.984712051284403, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
9,31,4,47.73098974192382,204.2779391269118,9.002013519075934,3.843826782255495,static,46.5986629287725,87.05503782116818,78.06606745645723,52.69966376964646,3,-122,"[230.7749, 384.4191]",732.9277857953606,1044.1024461186219,398.27980071629145,2.464354406015128,"[{'subtask_id': 0, 'subtask_size': 0.8214514686717093, 'network_delay_to_edge_server': 0.025124482133674134, 'network_delay_to_cloud_server': 0.018030175027528128, 'task_completion_time_edge': 0.6351243354957341, 'task_completion_time_cloud': 1.0414959236807735, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}, {'subtask_id': 1, 'subtask_size': 0.8214514686717093, 'network_delay_to_edge_server': 0.025124482133674134, 'network_delay_to_cloud_server': 0.018030175027528128, 'task_completion_time_edge': 0.1754536472792926, 'task_completion_time_cloud': 1.6226010176163772, 'offloading_decision': 'cloud_server', 'processing_at': 'cloud_server'}, {'subtask_id': 2, 'subtask_size': 0.8214514686717093, 'network_delay_to_edge_server': 0.025124482133674134, 'network_delay_to_cloud_server': 0.018030175027528128, 'task_completion_time_edge': 0.5052452749108856, 'task_completion_time_cloud': 0.6022073330983649, 'offloading_decision': 'edge_node', 'processing_at': 'edge_node'}]"
